{'source': 'update w1 w2', 'w2': 0.59579734170166909, 'w1': 0.32613794461323303, 'time': 3785.569156885147, 'mean_alpha': 0.35832909351129594, 'LL': -9.9987689438707044, 'clock': 3785.549767, 'outer_iter': 2, 'inner_iter': 24}
{'source': 'update w1 w2', 'w2': 0.59694513266770921, 'w1': 0.32542426728605417, 'time': 3827.5982060432434, 'mean_alpha': 0.35832909351129594, 'LL': -9.9926902752071172, 'clock': 3827.581771, 'outer_iter': 2, 'inner_iter': 25}
{'source': 'update w1 w2', 'w2': 0.59804318918119603, 'w1': 0.32470247724675672, 'time': 3869.6159551143646, 'mean_alpha': 0.35832909351129594, 'LL': -9.9868799570700943, 'clock': 3869.602378, 'outer_iter': 2, 'inner_iter': 26}
{'source': 'update w1 w2', 'w2': 0.59913968040926613, 'w1': 0.32404393177328078, 'time': 3911.5117280483246, 'mean_alpha': 0.35832909351129594, 'LL': -9.9810691201119397, 'clock': 3911.501063, 'outer_iter': 2, 'inner_iter': 27}
{'source': 'update w1 w2', 'w2': 0.60016747720857633, 'w1': 0.32332872215599395, 'time': 3953.5117568969727, 'mean_alpha': 0.35832909351129594, 'LL': -9.975438083333529, 'clock': 3953.504045, 'outer_iter': 2, 'inner_iter': 28}
{'source': 'update w1 w2', 'w2': 0.60122459887029744, 'w1': 0.32272906834788317, 'time': 3995.5534698963165, 'mean_alpha': 0.35832909351129594, 'LL': -9.9699761103250282, 'clock': 3995.548689, 'outer_iter': 2, 'inner_iter': 29}
{'source': 'update alpha beta', 'w2': 0.60122459887029744, 'w1': 0.32272906834788317, 'time': 4016.8695590496063, 'mean_alpha': 0.34797980011117807, 'LL': -9.9606859534924794, 'clock': 4016.8662200000003, 'outer_iter': 3, 'inner_iter': 0}
{'source': 'update alpha beta', 'w2': 0.60122459887029744, 'w1': 0.32272906834788317, 'time': 4038.19331407547, 'mean_alpha': 0.34554561159825975, 'LL': -9.9584540937156198, 'clock': 4038.1914460000003, 'outer_iter': 3, 'inner_iter': 1}
{'source': 'update alpha beta', 'w2': 0.60122459887029744, 'w1': 0.32272906834788317, 'time': 4059.6826260089874, 'mean_alpha': 0.34435406898358933, 'LL': -9.9579368617555346, 'clock': 4059.682218, 'outer_iter': 3, 'inner_iter': 2}
{'source': 'update w1 w2', 'w2': 0.60150559878037735, 'w1': 0.31837469374128302, 'time': 4101.999089956284, 'mean_alpha': 0.34435406898358933, 'LL': -9.9347311880422176, 'clock': 4102.00097, 'outer_iter': 3, 'inner_iter': 0}
{'source': 'update w1 w2', 'w2': 0.60317885957826733, 'w1': 0.31614299245542749, 'time': 4144.01235294342, 'mean_alpha': 0.34435406898358933, 'LL': -9.917108847914875, 'clock': 4144.016301000001, 'outer_iter': 3, 'inner_iter': 1}
{'source': 'update w1 w2', 'w2': 0.6049364491696847, 'w1': 0.31304628698483478, 'time': 4185.986366987228, 'mean_alpha': 0.34435406898358933, 'LL': -9.8995975098610351, 'clock': 4185.990868, 'outer_iter': 3, 'inner_iter': 2}
